latitude,longitude,address,price,hotel_name,image
13.7488292,100.5262393,2 6 ซอย เกษมสันต์ 3 แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330,2103,โรงแรมเอสทรี สยาม กรุงเทพ,https://images.trvl-media.com/lodging/91000000/90150000/90141700/90141695/10c1cf08.jpg?impolicy=fcrop&w=1200&h=800&quality=medium
13.7482132,100.5263403,29 ซอย เกษมสันต์ 3 แขวงวังใหม่ เขต วังใหม่ กรุงเทพมหานคร 10330,1813,VELA be Bangkok Siam,https://dnahotels.com/wp-content/uploads/2025/08/5-5.webp
13.7482132,100.5263403,33 ซอย เกษมสันต์ 3 แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330,2516,Happy 3,https://lh3.googleusercontent.com/p/AF1QipNAIWO32iuRKIjtSP8RCibkqsEfhAXF5HKQb149=w480-h240-k-no
13.7482591,100.5231026,ถนน พระรามที่ 1 - ซอย เกษมสันต์ 3 แขวงสี่แยกมหานาค เขตปทุมวัน กรุงเทพมหานคร 10330,1984,ไนน์ ดีไซน์ เพลส,https://lh3.googleusercontent.com/gps-proxy/ALd4DhE-xHSpAdnjFAkxgIuqtCpDIwO-d7-RhnpS_mNMtHcsSyqHZqQwPUMHWQS8hMSRFe8hNFH4nC6Jr1XDp4ujWDq2k_JWCfBok0NHsZc2PqAafKnkWpTk3uJiBwP4rA5QWclY3KunhCuOULE5h8LNZDV1RYu1kK4Ize1HhZIi4DtdXmFuvGrjeb0=w408-h306-k-no
13.7482591,100.5231026,80 ซอย เกษมสันต์ 3 แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330,2168,Daraya Boutique Hotel,https://lh3.googleusercontent.com/p/AF1QipOQrnzvkFu9gKz0j0svhCgblPRJMa01aqLDMiCU=w408-h306-k-no
13.74655,100.523757,889 ถ. พระรามที่ 1 แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330,3002,โรงแรมฮอลิเดย์ อินน์ เอ็กซ์เพรส บางกอก สยาม,https://lh3.googleusercontent.com/p/AF1QipNukxzbnzMyV1TrYGdzxp7w8WYOil_657ri8w2x=w408-h271-k-no
13.7468677,100.522437,House 22 ซอย เกษมสันต์ 1 แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330,2331,Patumwan House,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx-7xDeqpjGzGjP-VI7POBkUp3bHRMFYQr349OatW7YE0XIT8dszcoVupRy4B1ukjdgokrI6Yv-SEVKEgtMVYOYs7JCtEtWqG7PNnIXilFhJZUQzqEiDrAPMddidOUIe1DKCEGcjQ=w408-h259-k-no
13.7476655,100.5274356,36/1 ซอย เกษมสันต์ 1 แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330,2584,โรงแรมฦทธิ์,https://lh3.googleusercontent.com/p/AF1QipNikxQBlsC5iG8rPGkLS4BaixRbc3Wcnwa-zk_i=w408-h306-k-no
13.7475713,100.5257096,1 ซอย เกษมสันต์ 1 แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330,2616,Lit bangkok residences,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyRt7h_FHTNJlJOwUKbYcSxK0mvV1OpCXqGYKx2frEIPD1Vq57dwXiXotwAAEXOzU9xCHk7G2iyvyAGy4TpW3xdfVSk_p0wIMK38hO8SC7rRYfytODkpw5SY8y9J2Qj663kkZRloNEN7ctX=w408-h306-k-no
13.7475713,100.5257096,40 ซอย เกษมสันต์ 1 แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330,1913,Reno Hotel Bangkok,https://lh3.googleusercontent.com/p/AF1QipOh8Lc-ecUWSGqFmJb-lasLiVaf1vhQ-ze93kg=w408-h296-k-no
13.7472587,100.5249693,"925, 9 ถ. พระรามที่ 1 แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330",1219,หลับดีโฮสเทลแบงค็อกสยาม,https://lh3.googleusercontent.com/p/AF1QipOGPBRhBqw4EgInmCpTEB2vcV5V3L5RLgY0GjfL=w408-h271-k-no
13.747713,100.5248388,"927 ถ. พระรามที่ 1 Wangmai, เขตปทุมวัน กรุงเทพมหานคร 10330",4901,โรงแรมเมอร์เคียว กรุงเทพ สยาม,https://lh3.googleusercontent.com/p/AF1QipMI-rIbgfyz0Q9dXXO-JzOlS2_z29LrO86OBjJX=w408-h306-k-no
13.747713,100.5248388,"931, 1 ถ. พระรามที่ 1 แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330",2539,กฤษณ์ไทย เรสซิเดนซ์,https://lh3.googleusercontent.com/p/AF1QipPUn4FBEaMYLkIa3dwOjEjgmHdaz7eDoun5ZH4=w408-h272-k-no
13.7478883,100.5254158,342/3 ถ. พญาไท แขวงถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร 10400,1279,Siam Nitra Boutique Hotel,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEfKDPvQcI3TQ6SoC53FeiY9yALe5dedPpWADfHQxeaG4Y4B1pdJzirraeKQ_OCjZmp0GopKYEblnwvcI9C6eG9yZTbHV33hCAZjkhvYzLrFzcjgrD9LmW2lfbfxG00KJD_Gi781jYr7oyrItDYSEUnF64GEwH1urjgnGU4X79AWFTXc75DldI=w408-h272-k-no
13.7490014,100.5241048,670 ซอย พญานาค แขวงถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร 10400,954,กรูฟ แอท สยาม,https://lh3.googleusercontent.com/p/AF1QipPujkAw9TKiv0mxS8rZLiCqcrLZssG0YqK8hFv-=w408-h437-k-no
